"","ORG_CODE","DISTRICT_NAME.x","COUNTY.x","FEMALE","MALE","TOTAL","DISTRICT_NAME.y","COUNTY.y","GRADE","District_Total","African American","Asian","Hispanic","Mult-Race, Non-Hispanic","Native American","Native Hawaiian PacificIslander","White"
"1","0001","Abington","Plymouth","59","50","109","Abington","Plymouth","Gr.10",109,"4","3","10","0","0","1","91"
"2","0003","Acushnet","Bristol","0","0","0","Acushnet","Bristol","Gr.10",0,"***","***","***","***","***","***","***"
"3","0005","Agawam","Hampden","145","164","309","Agawam","Hampden","Gr.10",309,"6","7","20","6","0","0","270"
"4","0007","Amesbury","Essex","62","78","140","Amesbury","Essex","Gr.10",140,"3","2","8","6","0","0","121"
"5","0008","Amherst","Hampshire","0","0","0","Amherst","Hampshire","Gr.10",0,"***","***","***","***","***","***","***"
"6","0009","Andover","Essex","255","204","459","Andover","Essex","Gr.10",459,"9","69","18","11","0","0","352"
"7","0010","Arlington","Middlesex","193","157","350","Arlington","Middlesex","Gr.10",350,"16","42","26","22","0","0","244"
"8","0014","Ashland","Middlesex","92","80","172","Ashland","Middlesex","Gr.10",172,"3","16","12","2","0","0","139"
"9","0016","Attleboro","Bristol","190","225","415","Attleboro","Bristol","Gr.10",415,"26","19","54","18","1","1","296"
"10","0017","Auburn","Worcester","100","97","197","Auburn","Worcester","Gr.10",197,"5","11","8","5","0","0","168"
"11","0018","Avon","Norfolk","24","25","49","Avon","Norfolk","Gr.10",49,"21","2","3","2","0","0","21"
"12","0020","Barnstable","Barnstable","197","175","372","Barnstable","Barnstable","Gr.10",372,"28","12","34","17","5","3","273"
"13","0023","Bedford","Middlesex","100","106","206","Bedford","Middlesex","Gr.10",206,"18","17","13","14","0","2","142"
"14","0024","Belchertown","Hampshire","83","102","185","Belchertown","Hampshire","Gr.10",185,"5","3","11","2","0","0","164"
"15","0025","Bellingham","Norfolk","64","87","151","Bellingham","Norfolk","Gr.10",152,"1","4","7","2","0","0","138"
"16","0026","Belmont","Middlesex","167","145","312","Belmont","Middlesex","Gr.10",312,"18","62","10","11","0","0","211"
"17","0027","Berkley","Bristol","0","0","0","Berkley","Bristol","Gr.10",0,"***","***","***","***","***","***","***"
"18","0028","Berlin","Worcester","0","0","0","Berlin","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"19","0030","Beverly","Essex","163","138","301","Beverly","Essex","Gr.10",301,"14","7","35","8","0","2","235"
"20","0031","Billerica","Middlesex","139","135","274","Billerica","Middlesex","Gr.10",274,"7","15","13","9","1","1","228"
"21","0035","Boston","Suffolk","1903","1992","3895","Boston","Suffolk","Gr.10",3895,"1293","393","1613","71","13","8","504"
"22","0036","Bourne","Barnstable","46","59","105","Bourne","Barnstable","Gr.10",105,"4","0","6","3","0","0","92"
"23","0038","Boxford","Essex","0","0","0","Boxford","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"24","0039","Boylston","Worcester","0","0","0","Boylston","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"25","0040","Braintree","Norfolk","183","197","380","Braintree","Norfolk","Gr.10",380,"30","56","16","2","0","0","276"
"26","0041","Brewster","Barnstable","0","0","0","Brewster","Barnstable","Gr.10",0,"***","***","***","***","***","***","***"
"27","0043","Brimfield","Hampden","0","0","0","Brimfield","Hampden","Gr.10",0,"***","***","***","***","***","***","***"
"28","0044","Brockton","Plymouth","565","565","1130","Brockton","Plymouth","Gr.10",1130,"673","28","137","45","5","2","240"
"29","0045","Brookfield","Worcester","0","0","0","Brookfield","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"30","0046","Brookline","Norfolk","266","243","509","Brookline","Norfolk","Gr.10",509,"34","85","58","31","0","1","300"
"31","0048","Burlington","Middlesex","137","112","249","Burlington","Middlesex","Gr.10",249,"9","32","12","9","1","0","186"
"32","0049","Cambridge","Middlesex","237","274","511","Cambridge","Middlesex","Gr.10",511,"169","58","73","27","1","1","182"
"33","0050","Canton","Norfolk","130","111","241","Canton","Norfolk","Gr.10",241,"20","28","10","13","0","0","170"
"34","0051","Carlisle","Middlesex","0","0","0","Carlisle","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"35","0052","Carver","Plymouth","48","52","100","Carver","Plymouth","Gr.10",100,"1","0","0","2","0","0","97"
"36","0056","Chelmsford","Middlesex","165","182","347","Chelmsford","Middlesex","Gr.10",347,"14","35","17","8","0","0","273"
"37","0057","Chelsea","Suffolk","188","242","430","Chelsea","Suffolk","Gr.10",430,"25","8","375","3","0","0","19"
"38","0061","Chicopee","Hampden","304","300","604","Chicopee","Hampden","Gr.10",604,"16","15","185","16","0","0","372"
"39","0063","Clarksburg","Berkshire","0","0","0","Clarksburg","Berkshire","Gr.10",0,"***","***","***","***","***","***","***"
"40","0064","Clinton","Worcester","55","55","110","Clinton","Worcester","Gr.10",110,"4","5","30","0","0","0","71"
"41","0065","Cohasset","Norfolk","54","62","116","Cohasset","Norfolk","Gr.10",116,"5","2","1","1","0","0","107"
"42","0067","Concord","Middlesex","0","0","0","Concord","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"43","0068","Conway","Franklin","0","0","0","Conway","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"44","0071","Danvers","Essex","127","124","251","Danvers","Essex","Gr.10",251,"9","6","15","3","0","0","218"
"45","0072","Dartmouth","Bristol","135","135","270","Dartmouth","Bristol","Gr.10",270,"2","1","8","10","0","0","249"
"46","0073","Dedham","Norfolk","85","95","180","Dedham","Norfolk","Gr.10",180,"20","9","23","3","0","0","125"
"47","0074","Deerfield","Franklin","0","0","0","Deerfield","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"48","0077","Douglas","Worcester","47","52","99","Douglas","Worcester","Gr.10",99,"0","0","3","1","0","0","95"
"49","0078","Dover","Norfolk","0","0","0","Dover","Norfolk","Gr.10",0,"***","***","***","***","***","***","***"
"50","0079","Dracut","Middlesex","110","94","204","Dracut","Middlesex","Gr.10",204,"12","14","12","4","0","0","162"
"51","0082","Duxbury","Plymouth","124","127","251","Duxbury","Plymouth","Gr.10",251,"1","7","5","3","0","0","235"
"52","0083","East Bridgewater","Plymouth","76","69","145","East Bridgewater","Plymouth","Gr.10",146,"4","0","0","1","0","0","141"
"53","0085","Eastham","Barnstable","0","0","0","Eastham","Barnstable","Gr.10",0,"***","***","***","***","***","***","***"
"54","0086","Easthampton","Hampshire","63","69","132","Easthampton","Hampshire","Gr.10",132,"2","3","22","1","0","1","103"
"55","0087","East Longmeadow","Hampden","104","106","210","East Longmeadow","Hampden","Gr.10",210,"10","9","12","1","1","1","176"
"56","0088","Easton","Bristol","175","127","302","Easton","Bristol","Gr.10",302,"15","17","13","9","0","0","248"
"57","0089","Edgartown","Dukes","0","0","0","Edgartown","Dukes","Gr.10",0,"***","***","***","***","***","***","***"
"58","0091","Erving","Franklin","0","0","0","Erving","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"59","0093","Everett","Middlesex","251","274","525","Everett","Middlesex","Gr.10",525,"94","21","246","8","1","1","154"
"60","0094","Fairhaven","Bristol","81","77","158","Fairhaven","Bristol","Gr.10",158,"2","2","8","6","1","0","139"
"61","0095","Fall River","Bristol","273","297","570","Fall River","Bristol","Gr.10",570,"52","29","145","32","0","2","310"
"62","0096","Falmouth","Barnstable","110","97","207","Falmouth","Barnstable","Gr.10",207,"7","9","9","9","3","0","170"
"63","0097","Fitchburg","Worcester","165","161","326","Fitchburg","Worcester","Gr.10",326,"28","19","152","20","0","0","107"
"64","0098","Florida","Berkshire","0","0","0","Florida","Berkshire","Gr.10",0,"***","***","***","***","***","***","***"
"65","0099","Foxborough","Norfolk","90","115","205","Foxborough","Norfolk","Gr.10",205,"9","7","4","1","0","0","184"
"66","0100","Framingham","Middlesex","249","298","547","Framingham","Middlesex","Gr.10",547,"46","34","132","21","1","0","313"
"67","0101","Franklin","Norfolk","219","205","424","Franklin","Norfolk","Gr.10",424,"7","27","8","8","1","2","371"
"68","0103","Gardner","Worcester","59","67","126","Gardner","Worcester","Gr.10",126,"2","4","16","4","1","0","99"
"69","0105","Georgetown","Essex","55","43","98","Georgetown","Essex","Gr.10",98,"0","1","4","1","0","0","92"
"70","0107","Gloucester","Essex","89","112","201","Gloucester","Essex","Gr.10",201,"3","5","10","5","2","0","176"
"71","0109","Gosnold","Dukes","***","***","***","Gosnold","Dukes","Gr.10",0,"***","***","***","***","***","***","***"
"72","0110","Grafton","Worcester","120","108","228","Grafton","Worcester","Gr.10",228,"5","31","9","5","0","1","177"
"73","0111","Granby","Hampshire","20","31","51","Granby","Hampshire","Gr.10",51,"0","2","2","1","0","0","46"
"74","0114","Greenfield","Franklin","39","48","87","Greenfield","Franklin","Gr.10",87,"5","4","11","6","0","0","61"
"75","0117","Hadley","Hampshire","30","22","52","Hadley","Hampshire","Gr.10",52,"3","1","7","2","0","1","38"
"76","0118","Halifax","Plymouth","0","0","0","Halifax","Plymouth","Gr.10",0,"***","***","***","***","***","***","***"
"77","0121","Hancock","Berkshire","0","0","0","Hancock","Berkshire","Gr.10",0,"***","***","***","***","***","***","***"
"78","0122","Hanover","Plymouth","92","126","218","Hanover","Plymouth","Gr.10",219,"2","4","1","0","0","0","212"
"79","0125","Harvard","Worcester","51","52","103","Harvard","Worcester","Gr.10",103,"3","10","4","1","0","0","85"
"80","0127","Hatfield","Hampshire","15","13","28","Hatfield","Hampshire","Gr.10",28,"0","2","1","0","0","0","25"
"81","0128","Haverhill","Essex","223","237","460","Haverhill","Essex","Gr.10",460,"21","11","138","6","0","0","284"
"82","0131","Hingham","Plymouth","143","141","284","Hingham","Plymouth","Gr.10",284,"4","3","5","4","0","0","268"
"83","0133","Holbrook","Norfolk","29","24","53","Holbrook","Norfolk","Gr.10",53,"13","2","8","1","0","0","29"
"84","0135","Holland","Hampden","0","0","0","Holland","Hampden","Gr.10",0,"***","***","***","***","***","***","***"
"85","0136","Holliston","Middlesex","96","90","186","Holliston","Middlesex","Gr.10",186,"1","11","7","4","0","0","163"
"86","0137","Holyoke","Hampden","203","218","421","Holyoke","Hampden","Gr.10",421,"14","1","329","6","0","1","70"
"87","0138","Hopedale","Worcester","44","40","84","Hopedale","Worcester","Gr.10",84,"0","0","2","2","4","0","76"
"88","0139","Hopkinton","Middlesex","124","140","264","Hopkinton","Middlesex","Gr.10",264,"0","14","7","6","0","0","237"
"89","0141","Hudson","Middlesex","88","102","190","Hudson","Middlesex","Gr.10",190,"1","7","12","2","0","0","168"
"90","0142","Hull","Plymouth","36","43","79","Hull","Plymouth","Gr.10",79,"0","0","2","2","0","0","75"
"91","0144","Ipswich","Essex","62","62","124","Ipswich","Essex","Gr.10",124,"0","5","6","5","0","0","108"
"92","0145","Kingston","Plymouth","0","0","0","Kingston","Plymouth","Gr.10",0,"***","***","***","***","***","***","***"
"93","0148","Lanesborough","Berkshire","0","0","0","Lanesborough","Berkshire","Gr.10",0,"***","***","***","***","***","***","***"
"94","0149","Lawrence","Essex","404","467","871","Lawrence","Essex","Gr.10",871,"14","14","810","5","1","0","27"
"95","0150","Lee","Berkshire","28","34","62","Lee","Berkshire","Gr.10",62,"0","4","3","3","0","0","52"
"96","0151","Leicester","Worcester","50","55","105","Leicester","Worcester","Gr.10",105,"6","2","2","1","0","1","93"
"97","0152","Lenox","Berkshire","28","22","50","Lenox","Berkshire","Gr.10",50,"0","1","6","2","0","0","41"
"98","0153","Leominster","Worcester","206","269","475","Leominster","Worcester","Gr.10",475,"40","17","132","16","1","0","269"
"99","0154","Leverett","Franklin","0","0","0","Leverett","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"100","0155","Lexington","Middlesex","276","279","555","Lexington","Middlesex","Gr.10",555,"14","192","22","22","0","0","305"
"101","0157","Lincoln","Middlesex","0","0","0","Lincoln","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"102","0158","Littleton","Middlesex","61","53","114","Littleton","Middlesex","Gr.10",114,"0","8","2","4","0","1","99"
"103","0159","Longmeadow","Hampden","113","127","240","Longmeadow","Hampden","Gr.10",240,"5","20","9","3","0","1","202"
"104","0160","Lowell","Middlesex","405","405","810","Lowell","Middlesex","Gr.10",810,"95","253","206","20","0","0","236"
"105","0161","Ludlow","Hampden","117","119","236","Ludlow","Hampden","Gr.10",236,"5","3","25","2","1","0","200"
"106","0162","Lunenburg","Worcester","57","57","114","Lunenburg","Worcester","Gr.10",114,"1","9","2","0","1","1","100"
"107","0163","Lynn","Essex","480","604","1084","Lynn","Essex","Gr.10",1084,"111","88","633","33","5","1","213"
"108","0164","Lynnfield","Essex","79","89","168","Lynnfield","Essex","Gr.10",168,"0","6","10","3","0","0","149"
"109","0165","Malden","Middlesex","231","216","447","Malden","Middlesex","Gr.10",447,"90","109","97","13","3","0","135"
"110","0167","Mansfield","Bristol","174","160","334","Mansfield","Bristol","Gr.10",334,"10","12","12","9","0","0","291"
"111","0168","Marblehead","Essex","144","123","267","Marblehead","Essex","Gr.10",267,"9","6","16","3","1","0","232"
"112","0169","Marion","Plymouth","0","0","0","Marion","Plymouth","Gr.10",0,"***","***","***","***","***","***","***"
"113","0170","Marlborough","Middlesex","139","153","292","Marlborough","Middlesex","Gr.10",292,"8","4","144","6","0","0","130"
"114","0171","Marshfield","Plymouth","186","172","358","Marshfield","Plymouth","Gr.10",358,"3","3","10","2","0","1","339"
"115","0172","Mashpee","Barnstable","45","60","105","Mashpee","Barnstable","Gr.10",105,"4","2","3","7","10","0","79"
